date,sales,promotion,day_of_week,month,year,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_28
2014-04-29,326338.348,0.0019454624437824268,1,4,2014,362271.917,370552.249,364689.055,485078.887
2014-04-30,357079.965,0.003095894780879123,2,4,2014,326338.348,372232.595,411357.085,463917.316
2014-05-01,530380.848,0.01308641144598796,3,5,2014,357079.965,320875.4779,397464.8429,388867.9614
2014-05-02,443284.8914,0.005715800491187234,4,5,2014,530380.848,357173.7085,394392.1841,422578.7449
2014-05-03,610391.749,0.00197848021697292,5,5,2014,443284.8914,497334.735,496904.749,617680.194
2014-05-04,646164.864,0.002153988985696381,6,5,2014,610391.749,560508.421,520126.398,631888.251
2014-05-05,427601.704,0.0031814700158444642,0,5,2014,646164.864,362271.917,398677.397,426091.104
2014-05-06,388945.89,0.003334695219430137,1,5,2014,427601.704,326338.348,370552.249,376663.272
2014-05-07,391932.184,0.0028904031009609563,2,5,2014,388945.89,357079.965,372232.595,375309.082
2014-05-08,337483.7132,0.012370620675036473,3,5,2014,391932.184,530380.848,320875.4779,334052.757
2014-05-09,381333.1961,0.0065593817312040725,4,5,2014,337483.7132,443284.8914,357173.7085,379646.8459
2014-05-10,577012.027,0.0013077665017197293,5,5,2014,381333.1961,610391.749,497334.735,529919.923
2014-05-11,454512.929,0.0021070555728899846,6,5,2014,577012.027,646164.864,560508.421,540190.282
2014-05-12,398251.889,0.0024929674595969087,0,5,2014,454512.929,427601.704,362271.917,381386.309
2014-05-13,360734.523,0.002141053741063757,1,5,2014,398251.889,388945.89,326338.348,364689.055
2014-05-14,356373.807,0.004376306477540871,2,5,2014,360734.523,391932.184,357079.965,411357.085
2014-05-15,332272.8297,0.015515349252764979,3,5,2014,356373.807,337483.7132,530380.848,397464.8429
2014-05-16,380822.7426,0.03709089930807089,4,5,2014,332272.8297,381333.1961,443284.8914,394392.1841
2014-05-17,537873.964,0.0028400296393599,5,5,2014,380822.7426,577012.027,610391.749,496904.749
2014-05-18,634519.737,0.003073874438046047,6,5,2014,537873.964,454512.929,646164.864,520126.398
2014-05-19,388814.745,0.002488328985568693,0,5,2014,634519.737,398251.889,427601.704,398677.397
2014-05-20,354372.34,0.0036741214057507987,1,5,2014,388814.745,360734.523,388945.89,370552.249
2014-05-21,356898.483,0.00561448449754268,2,5,2014,354372.34,356373.807,391932.184,372232.595
2014-05-22,310660.1426,0.041373785167379884,3,5,2014,356898.483,332272.8297,337483.7132,320875.4779
2014-05-23,349549.8927,0.03798099578132126,4,5,2014,310660.1426,380822.7426,381333.1961,357173.7085
2014-05-24,516627.262,0.007177730005274093,5,5,2014,349549.8927,537873.964,577012.027,497334.735
2014-05-25,573412.21,0.005222518718253314,6,5,2014,516627.262,634519.737,454512.929,560508.421
2014-05-26,373831.086,0.005735783032232905,0,5,2014,573412.21,388814.745,398251.889,362271.917
2014-05-27,327642.143,0.0046939993308492065,1,5,2014,373831.086,354372.34,360734.523,326338.348
2014-05-28,338481.784,0.0048795949385565755,2,5,2014,327642.143,356898.483,356373.807,357079.965
2014-05-29,326624.5774,0.04046816716983527,3,5,2014,338481.784,310660.1426,332272.8297,530380.848
2014-05-30,375782.64,0.03562148320635567,4,5,2014,326624.5774,349549.8927,380822.7426,443284.8914
2014-05-31,597192.468,0.006235609455141353,5,5,2014,375782.64,516627.262,537873.964,610391.749
2014-06-01,742732.83,0.0021805822155457973,6,6,2014,597192.468,573412.21,634519.737,646164.864
2014-06-02,512725.773,0.005307018182602653,0,6,2014,742732.83,373831.086,388814.745,427601.704
2014-06-03,443636.188,0.006184684825576041,1,6,2014,512725.773,327642.143,354372.34,388945.89
2014-06-04,423283.495,0.005125782190019009,2,6,2014,443636.188,338481.784,356898.483,391932.184
2014-06-05,359474.5138,0.04085205608809978,3,6,2014,423283.495,326624.5774,310660.1426,337483.7132
2014-06-06,391266.1253,0.03483371066061466,4,6,2014,359474.5138,375782.64,349549.8927,381333.1961
2014-06-07,557142.461,0.003823770667516939,5,6,2014,391266.1253,597192.468,516627.262,577012.027
2014-06-08,626026.957,0.00430038031093923,6,6,2014,557142.461,742732.83,573412.21,454512.929
2014-06-09,415798.946,0.003608688801245783,0,6,2014,626026.957,512725.773,373831.086,398251.889
2014-06-10,351689.423,0.006919827099832912,1,6,2014,415798.946,443636.188,327642.143,360734.523
2014-06-11,373828.164,0.00628665046221611,2,6,2014,351689.423,423283.495,338481.784,356373.807
2014-06-12,329408.0674,0.05389022236193114,3,6,2014,373828.164,359474.5138,326624.5774,332272.8297
2014-06-13,392308.3748,0.041806300995642164,4,6,2014,329408.0674,391266.1253,375782.64,380822.7426
2014-06-14,622072.989,0.007238253516260614,5,6,2014,392308.3748,557142.461,597192.468,537873.964
2014-06-15,441279.934,0.007227559547269149,6,6,2014,622072.989,626026.957,742732.83,634519.737
2014-06-16,447450.24,0.009260759363990956,0,6,2014,441279.934,415798.946,512725.773,388814.745
2014-06-17,380396.036,0.01127606913338077,1,6,2014,447450.24,351689.423,443636.188,354372.34
2014-06-18,373403.664,0.013897697050985553,2,6,2014,380396.036,373828.164,423283.495,356898.483
2014-06-19,332280.935,0.06176232470273987,3,6,2014,373403.664,329408.0674,359474.5138,310660.1426
2014-06-20,369206.7896,0.062102384479009586,4,6,2014,332280.935,392308.3748,391266.1253,349549.8927
2014-06-21,538613.855,0.010080474071726209,5,6,2014,369206.7896,622072.989,557142.461,516627.262
2014-06-22,591184.124,0.008426291907662933,6,6,2014,538613.855,441279.934,626026.957,573412.21
2014-06-23,414929.636,0.00551235872676976,0,6,2014,591184.124,447450.24,415798.946,373831.086
2014-06-24,340464.745,0.005860462879937833,1,6,2014,414929.636,380396.036,351689.423,327642.143
2014-06-25,355342.398,0.009105046338996114,2,6,2014,340464.745,373403.664,373828.164,338481.784
2014-06-26,315798.181,0.05688227824212832,3,6,2014,355342.398,332280.935,329408.0674,326624.5774
2014-06-27,370793.5734,0.08475742098716753,4,6,2014,315798.181,369206.7896,392308.3748,375782.64
2014-06-28,510870.814,0.009262750719597774,5,6,2014,370793.5734,538613.855,622072.989,597192.468
2014-06-29,567218.885,0.007027983562289186,6,6,2014,510870.814,591184.124,441279.934,742732.83
2014-06-30,429324.055,0.00909844196827033,0,6,2014,567218.885,414929.636,447450.24,512725.773
2014-07-01,720480.617,0.05277080757330075,1,7,2014,429324.055,340464.745,380396.036,443636.188
2014-07-02,747430.1483,0.17034164100763236,2,7,2014,720480.617,355342.398,373403.664,423283.495
2014-07-03,583843.7208,0.04400421565688268,3,7,2014,747430.1483,315798.181,332280.935,359474.5138
2014-07-04,595424.3132,0.09248313812389347,4,7,2014,583843.7208,370793.5734,369206.7896,391266.1253
2014-07-05,817307.11,0.011923942518987752,5,7,2014,595424.3132,510870.814,538613.855,557142.461
2014-07-06,918276.596,0.01090149530501592,6,7,2014,817307.11,567218.885,591184.124,626026.957
2014-07-07,638526.429,0.009239727178152558,0,7,2014,918276.596,429324.055,414929.636,415798.946
2014-07-08,557291.4975,0.05627443831582949,1,7,2014,638526.429,720480.617,340464.745,351689.423
2014-07-09,574451.4102,0.19176613729896974,2,7,2014,557291.4975,747430.1483,355342.398,373828.164
2014-07-10,498047.549,0.048377047630044655,3,7,2014,574451.4102,583843.7208,315798.181,329408.0674
2014-07-11,535644.1829,0.09679692537551499,4,7,2014,498047.549,595424.3132,370793.5734,392308.3748
2014-07-12,756698.752,0.01021852616984361,5,7,2014,535644.1829,817307.11,510870.814,622072.989
2014-07-13,733653.78,0.013931204716208236,6,7,2014,756698.752,918276.596,567218.885,441279.934
2014-07-14,584867.151,0.011789456782126579,0,7,2014,733653.78,638526.429,429324.055,447450.24
2014-07-15,562860.027,0.06076042418979595,1,7,2014,584867.151,557291.4975,720480.617,380396.036
2014-07-16,621336.494,0.19946935548904038,2,7,2014,562860.027,574451.4102,747430.1483,373403.664
2014-07-17,498221.705,0.04888626439909919,3,7,2014,621336.494,498047.549,583843.7208,332280.935
2014-07-18,547619.059,0.10252709265182824,4,7,2014,498221.705,535644.1829,595424.3132,369206.7896
2014-07-19,728988.226,0.013590288082375696,5,7,2014,547619.059,756698.752,817307.11,538613.855
2014-07-20,776474.118,0.011908118745562617,6,7,2014,728988.226,733653.78,918276.596,591184.124
2014-07-21,600228.43,0.009925161325663963,0,7,2014,776474.118,584867.151,638526.429,414929.636
2014-07-22,530276.04,0.05736178462824758,1,7,2014,600228.43,562860.027,557291.4975,340464.745
2014-07-23,574168.636,0.20541201592209574,2,7,2014,530276.04,621336.494,574451.4102,355342.398
2014-07-24,484618.817,0.045297161872276205,3,7,2014,574168.636,498221.705,498047.549,315798.181
2014-07-25,579767.285,0.09729359082411834,4,7,2014,484618.817,547619.059,535644.1829,370793.5734
2014-07-26,688919.55,0.011273041968398196,5,7,2014,579767.285,728988.226,756698.752,510870.814
2014-07-27,747307.867,0.010270419112288029,6,7,2014,688919.55,776474.118,733653.78,567218.885
2014-07-28,583936.685,0.010665128874374452,0,7,2014,747307.867,600228.43,584867.151,429324.055
2014-07-29,524743.325,0.0565401894345202,1,7,2014,583936.685,530276.04,562860.027,720480.617
2014-07-30,578056.9652,0.20872712598187373,2,7,2014,524743.325,574168.636,621336.494,747430.1483
2014-07-31,532423.558,0.04367062398091709,3,7,2014,578056.9652,484618.817,498221.705,583843.7208
2014-08-01,506826.795,0.12675313269496732,4,8,2014,532423.558,579767.285,547619.059,595424.3132
2014-08-02,626533.638,0.009150973949781767,5,8,2014,506826.795,688919.55,728988.226,817307.11
2014-08-03,625898.206,0.010065235751770154,6,8,2014,626533.638,747307.867,776474.118,918276.596
2014-08-04,471173.304,0.008197467825978527,0,8,2014,625898.206,583936.685,600228.43,638526.429
