date,sales,promotion,month,year,sales_lag_1,sales_lag_2,sales_lag_4,sales_lag_8
2014-06-29,2875418.2324,0.022823543114708394,6,2014,3032535.6436,2926385.8981999997,3082287.5284,2913640.6654
2014-07-06,4812086.5603,0.05605871873243743,7,2014,2875418.2324,3032535.6436,3313555.5131,2958821.6433
2014-07-13,4294313.6006000005,0.056194594397177514,7,2014,4812086.5603,2875418.2324,2926385.8981999997,3000849.4923
2014-07-20,4320366.78,0.061265160454733424,7,2014,4294313.6006000005,4812086.5603,3032535.6436,2850335.0753
2014-07-27,4205286.625,0.0590012013747101,7,2014,4320366.78,4294313.6006000005,2875418.2324,3082287.5284
2014-08-03,3978419.1722,0.06436711767060793,8,2014,4205286.625,4320366.78,4812086.5603,3313555.5131
2014-08-10,3054621.175,0.034411191430308866,8,2014,3978419.1722,4205286.625,4294313.6006000005,2926385.8981999997
2014-08-17,2977369.317,0.03804849917448115,8,2014,3054621.175,3978419.1722,4320366.78,3032535.6436
2014-08-24,2982611.5854,0.039442525327756675,8,2014,2977369.317,3054621.175,4205286.625,2875418.2324
2014-08-31,3111288.702,0.034189290737185976,8,2014,2982611.5854,2977369.317,3978419.1722,4812086.5603
2014-09-07,5279048.4779,0.06231875618821166,9,2014,3111288.702,2982611.5854,3054621.175,4294313.6006000005
2014-09-14,4564209.386,0.07012868120857943,9,2014,5279048.4779,3111288.702,2977369.317,4320366.78
2014-09-21,4596047.041,0.07033665367569068,9,2014,4564209.386,5279048.4779,2982611.5854,4205286.625
2014-09-28,4397332.4717,0.06415514674307451,9,2014,4596047.041,4564209.386,3111288.702,3978419.1722
2014-10-05,5197007.2825,0.061695190052872516,10,2014,4397332.4717,4596047.041,5279048.4779,3054621.175
2014-10-12,4653323.8796999995,0.05980856355477724,10,2014,5197007.2825,4397332.4717,4564209.386,2977369.317
2014-10-19,4640156.2785,0.060318689975346694,10,2014,4653323.8796999995,5197007.2825,4596047.041,2982611.5854
2014-10-26,4423454.1543000005,0.059719614307114643,10,2014,4640156.2785,4653323.8796999995,4397332.4717,3111288.702
2014-11-02,4251263.4698,0.06026513995662871,11,2014,4423454.1543000005,4640156.2785,5197007.2825,5279048.4779
2014-11-09,5303735.6407,0.05603522104672158,11,2014,4251263.4698,4423454.1543000005,4653323.8796999995,4564209.386
2014-11-16,4497783.9883,0.05933692407066279,11,2014,5303735.6407,4251263.4698,4640156.2785,4596047.041
2014-11-23,4505464.8566,0.060892589495645265,11,2014,4497783.9883,5303735.6407,4423454.1543000005,4397332.4717
2014-11-30,4641258.98,0.05917439711584462,11,2014,4505464.8566,4497783.9883,4251263.4698,5197007.2825
2014-12-07,5325542.5446,0.06033394481578282,12,2014,4641258.98,4505464.8566,5303735.6407,4653323.8796999995
2014-12-14,5264767.8921,0.06585863652608186,12,2014,5325542.5446,4641258.98,4497783.9883,4640156.2785
2014-12-21,5850662.082,0.08153362821407945,12,2014,5264767.8921,5325542.5446,4505464.8566,4423454.1543000005
2014-12-28,5368128.443,0.09885086145655775,12,2014,5850662.082,5264767.8921,4641258.98,4251263.4698
2015-01-04,4581688.876,0.08726802862901335,1,2015,5368128.443,5850662.082,5325542.5446,5303735.6407
2015-01-11,3662996.663,0.04355241723571289,1,2015,4581688.876,5368128.443,5264767.8921,4497783.9883
2015-01-18,3332458.054,0.04234066407246668,1,2015,3662996.663,4581688.876,5850662.082,4505464.8566
2015-01-25,3269001.809,0.036555305252815175,1,2015,3332458.054,3662996.663,5368128.443,4641258.98
2015-02-01,3397417.535,0.03769937479880582,2,2015,3269001.809,3332458.054,4581688.876,5325542.5446
2015-02-08,3533020.2169999997,0.03702944194049598,2,2015,3397417.535,3269001.809,3662996.663,5264767.8921
2015-02-15,3134913.821,0.041934736808192465,2,2015,3533020.2169999997,3397417.535,3332458.054,5850662.082
2015-02-22,3585461.16,0.03589815459052414,2,2015,3134913.821,3533020.2169999997,3269001.809,5368128.443
2015-03-01,3494140.154,0.03188525276310367,3,2015,3585461.16,3134913.821,3397417.535,4581688.876
2015-03-08,3730997.984,0.03170313827754671,3,2015,3494140.154,3585461.16,3533020.2169999997,3662996.663
2015-03-15,3460576.738,0.031611078523062074,3,2015,3730997.984,3494140.154,3134913.821,3332458.054
2015-03-22,3392165.9,0.03562935262099062,3,2015,3460576.738,3730997.984,3585461.16,3269001.809
2015-03-29,3313274.1890000002,0.03641213075589501,3,2015,3392165.9,3460576.738,3494140.154,3397417.535
2015-04-05,3786830.35,0.035565918605252544,4,2015,3313274.1890000002,3392165.9,3730997.984,3533020.2169999997
2015-04-12,3560791.903,0.036363121330092514,4,2015,3786830.35,3313274.1890000002,3460576.738,3134913.821
2015-04-19,3484100.483,0.04213423226921323,4,2015,3560791.903,3786830.35,3392165.9,3585461.16
2015-04-26,3373275.358,0.047968063329385635,4,2015,3484100.483,3560791.903,3313274.1890000002,3494140.154
2015-05-03,3759669.264,0.05380249106933146,5,2015,3373275.358,3484100.483,3786830.35,3730997.984
2015-05-10,3760888.1720000003,0.05016523447961749,5,2015,3759669.264,3373275.358,3560791.903,3460576.738
2015-05-17,3811072.4529999997,0.03980188749248111,5,2015,3760888.1720000003,3759669.264,3484100.483,3392165.9
2015-05-24,3681894.533,0.03655365268986644,5,2015,3811072.4529999997,3760888.1720000003,3373275.358,3313274.1890000002
